id,full_equation,complexity,full_equation_tokens_bpe,full_equation_token_ids
115,I=(4/3-s_avg+d+t_f)/(h*E*E*E_avg)+tan(R*P_rms+z^+)-(1-N_A*beta*L*Q^3)/(pi+h)-(2/3-h-T)/(1/3+k*C_rms),5,I=(4/3-s_avg+d+t_f)/(h*E*E*E_avg)+tan(R*P_rms+z^+)-(1-N_A*beta*L*Q^3)/(pi+h)-(2/3-h-T)/(1/3+k*C_rms),"[362, 203, 706, 513, 600, 121, 518, 630, 345, 345, 343, 509, 48, 405, 386, 556, 774, 446, 49, 11, 383, 591, 375, 395, 467, 57, 696, 628, 50, 166, 632, 415, 66, 645, 334, 554]"
8861,A=2/3*psi,1,A=2/3*psi,"[321, 159, 698]"
5650,Q=exp(1/2+phi_i^--v*r)-partialQ/partialt,5,Q=exp(1/2+phi_i^--v*r)-partialQ/partialt,"[395, 257, 13, 691, 524, 455, 740, 702, 55, 395, 143]"
9845,Q=(epsilon_min)/(N_A+u)-sqrt(N_A-u^-+alpha_f^-1)-(4/3+G+omega_1+w)^-1,5,Q=(epsilon_min)/(N_A+u)-sqrt(N_A-u^-+alpha_f^-1)-(4/3+G+omega_1+w)^-1,"[399, 611, 540, 384, 734, 49, 716, 385, 734, 454, 576, 516, 456, 49, 37, 360, 676, 499, 752, 84]"
499,I=partialv/partialt,4,I=partialv/partialt,"[362, 279, 738, 143]"
7823,v=cos(pi-alpha_1-Q_2),3,v=cos(pi-alpha_1-Q_2),"[738, 234, 697, 576, 500, 395, 503]"
721,L=1+w_i,1,L=1+w_i,"[372, 212, 752, 524]"
7259,P=sum_j=1^n(1+k+p_i^-1+x_max^*),4,P=sum_j=1^n(1+k+p_i^-1+x_max^*),"[386, 307, 224, 9, 680, 524, 460, 756, 531, 442]"
8844,Q=dA/dt,4,Q=dA/dt,"[395, 237, 136]"
5731,B=b_i,1,B=b_i,"[328, 586]"
3090,a_0=(E_f+epsilon_1+d)^1/2+tan(1/3*epsilon_avg^3-r_rms)-(N_A+phi+R)^-1-(omega+alpha_max)^1/2,5,a_0=(E_f+epsilon_1+d)^1/2+tan(1/3*epsilon_avg^3-r_rms)-(N_A+phi+R)^-1-(omega+alpha_max)^1/2,"[558, 494, 343, 520, 611, 499, 600, 87, 725, 21, 611, 509, 471, 702, 553, 50, 384, 694, 403, 84, 125, 678, 576, 531, 86]"
7227,L=(2+v_2)^n,2,L=(2+v_2)^n,"[372, 195, 747, 98]"
7307,g_rms=(1/3+W_2)^n,2,g_rms=(1/3+W_2)^n,"[624, 193, 432, 502, 98]"
6509,W=partialv/partialt,4,W=partialv/partialt,"[432, 279, 738, 143]"
597,h_max=(1/2+m)^2,2,h_max=(1/2+m)^2,"[637, 190, 656, 89]"
9093,L=exp(2-k-t_avg+n),3,L=exp(2-k-t_avg+n),"[372, 258, 158, 647, 721, 513, 670]"
6096,F=2-u,1,F=2-u,"[354, 158, 734]"
6054,a=dV/dx,4,a=dV/dx,"[565, 424, 139]"
5165,C_net=4/3-k*phi-lambda_0-(1/3-k-epsilon^+)/(G-Q)-ln(phi+b)+partialE/partialy,5,C_net=4/3-k*phi-lambda_0-(1/3-k-epsilon^+)/(G-Q)-ln(phi+b)+partialE/partialy,"[334, 545, 232, 645, 691, 124, 648, 493, 29, 647, 611, 446, 57, 361, 395, 54, 694, 579, 47, 343, 146]"
1648,A=cos(pi+gamma_1+a),3,A=cos(pi+gamma_1+a),"[317, 234, 696, 625, 495, 118]"
8168,a=sin(2/3*a*w_2),3,a=sin(2/3*a*w_2),"[558, 300, 159, 560, 752, 503]"
6921,L=theta,1,L=theta,"[377, 731]"
2701,C=1-mu,1,C=1-mu,"[334, 213, 665]"
8204,A=partialT/partialy,4,A=partialT/partialy,"[317, 290, 146]"
1701,W=d_min,1,W=d_min,"[432, 236, 538]"
8944,P=dL/dx,4,P=dL/dx,"[386, 241, 139]"
5405,m=cos(2+pi+g_min+u)-sum_k=1^inf(2+R+r+c_i+alpha_min)+sum_i=1^n(a_2^*)-(x+A)^3,5,m=cos(2+pi+g_min+u)-sum_k=1^inf(2+R+r+c_i+alpha_min)+sum_i=1^n(a_2^*)-(x+A)^3,"[656, 234, 157, 617, 542, 734, 49, 719, 223, 152, 704, 593, 528, 576, 538, 40, 717, 225, 569, 441, 50, 758, 317, 94]"
7220,E_max=1-sigma_rms-(3+N_A+mu_i)^-1,5,E_max=1-sigma_rms-(3+N_A+mu_i)^-1,"[343, 531, 213, 709, 553, 125, 170, 665, 524, 84]"
7503,p=sin(F),3,p=sin(F),"[680, 300, 352]"
2943,p=cos(h+u),3,p=cos(h+u),"[680, 234, 631, 735]"
6302,n=(1+w_max)^n,2,n=(1+w_max)^n,"[669, 187, 752, 531, 98]"
87,x=beta^n,2,x=beta^n,"[760, 589, 483]"
2309,y_0=partialm/partialx,4,y_0=partialm/partialx,"[765, 488, 295, 145]"
2678,T=sqrt(4/3+omega),3,T=sqrt(4/3+omega),"[415, 301, 37, 677]"
8217,T_avg=(beta)/(z_0),2,T_avg=(beta)/(z_0),"[415, 515, 589, 57, 774, 489]"
7730,z=1*N_A-s_min*r_2-g-(2/3+R+m+d)/(2/3+N_A+beta^-1*b_rms)-1*v_i-n,5,z=1*N_A-s_min*r_2-g-(2/3+R+m+d)/(2/3+N_A+beta^-1*b_rms)-1*v_i-n,"[774, 211, 385, 706, 541, 702, 507, 617, 125, 163, 656, 120, 57, 162, 589, 459, 588, 52, 113, 529, 669]"
2595,Q=(1/3+e+F+gamma)^2+sin(1/3+e+T_f+W+B_2),5,Q=(1/3+e+F+gamma)^2+sin(1/3+e+T_f+W+B_2),"[395, 193, 608, 353, 625, 90, 713, 25, 415, 520, 435, 325, 503]"
5885,A=(1+e*L^3*p_net)/(4+c*phi_2*gamma^3)+sum_n=0^N(1+alpha_i^*)+dQ/dt,5,A=(1+e*L^3*p_net)/(4+c*phi_2*gamma^3)+sum_n=0^N(1+alpha_i^*)+dQ/dt,"[317, 187, 607, 372, 469, 689, 79, 595, 691, 505, 625, 467, 40, 720, 204, 3, 576, 524, 441, 45, 395, 136]"
1030,h=partialn/partialy-h-P_2^*+(T-t^2*P)/(G*a^+),5,h=partialn/partialy-h-P_2^*+(T-t^2*P)/(G*a^+),"[628, 296, 146, 124, 632, 386, 502, 441, 115, 415, 124, 721, 464, 386, 57, 359, 558, 447]"
137,P=lambda_avg^n,2,P=lambda_avg^n,"[390, 648, 509, 483]"
6832,T=(g)/(P),2,T=(g)/(P),"[420, 617, 57, 387]"
7815,V=pi*beta*delta^++2*r*b-partialV/partialr,5,V=pi*beta*delta^++2*r*b-partialV/partialr,"[428, 695, 591, 604, 449, 148, 702, 111, 579, 128, 424, 142]"
2855,L=2-k*W*C^++g+(h+a_max)/(4+gamma+y^--r_2)+tan(4+lambda+P+u_min)-dB/dx,5,L=2-k*W*C^++g+(h+a_max)/(4+gamma+y^--r_2)+tan(4+lambda+P+u_min)-dB/dx,"[377, 158, 645, 434, 334, 449, 617, 115, 631, 573, 79, 627, 765, 455, 702, 502, 48, 179, 650, 388, 734, 538, 53, 325, 139]"
4410,F=ln(R+Q+R+r_2)-partialI/partialt+sin(3+c-delta),5,F=ln(R+Q+R+r_2)-partialI/partialt+sin(3+c-delta),"[351, 276, 397, 406, 702, 502, 55, 362, 144, 714, 168, 597, 605]"
1201,n=g_net,1,n=g_net,"[672, 617, 545]"
4718,h=log(N_A-theta_i+a),3,h=log(N_A-theta_i+a),"[628, 278, 385, 731, 524, 118]"
9518,L=exp(1+e+A_net+v),3,L=exp(1+e+A_net+v),"[372, 257, 7, 317, 545, 123]"
6595,a=cos(h+z_i+A_f^-1+sigma)-(h+a+w)^2,5,a=cos(h+z_i+A_f^-1+sigma)-(h+a+w)^2,"[558, 234, 631, 774, 528, 317, 516, 460, 709, 50, 631, 561, 752, 89]"
567,m=(3+tau)^n,2,m=(3+tau)^n,"[656, 197, 727, 98]"
7329,p=dh/dt,4,p=dh/dt,"[680, 253, 136]"
5431,g=T,1,g=T,"[621, 415]"
3928,x=tan(phi+tau_2),3,x=tan(phi+tau_2),"[756, 315, 694, 727, 503]"
6056,z=phi,1,z=phi,"[777, 691]"
7590,B=log(k*Q+epsilon_rms^3)+(2/3+N_A+mu^++y)^2,5,B=log(k*Q+epsilon_rms^3)+(2/3+N_A+mu^++y)^2,"[325, 278, 645, 397, 611, 553, 467, 41, 162, 665, 449, 765, 89]"
7123,g_f=log(T),3,g_f=log(T),"[617, 516, 278, 416]"
6573,P=sin(2+h+epsilon+T_min),3,P=sin(2+h+epsilon+T_min),"[386, 300, 155, 613, 415, 539]"
6536,n=1+sigma_0,1,n=1+sigma_0,"[669, 212, 709, 488]"
8914,P_i=dQ/dt,4,P_i=dQ/dt,"[394, 244, 136]"
8276,h=sigma,1,h=sigma,"[633, 709]"
2331,x=2/3*epsilon,1,x=2/3*epsilon,"[760, 159, 611]"
3516,T=P_min,1,T=P_min,"[419, 386, 538]"
2188,a=exp(G+C_avg+h),3,a=exp(G+C_avg+h),"[558, 258, 360, 334, 513, 629]"
196,C=c,1,C=c,"[337, 593]"
7258,W=exp(1/3+N_A+s),3,W=exp(1/3+N_A+s),"[432, 257, 23, 707]"
5667,C_f=(delta)/(epsilon),2,C_f=(delta)/(epsilon),"[334, 523, 604, 57, 612]"
5060,m=ln(L_f)-sum_k=0^inf(theta+a+E_2)+(3+h+alpha_1^*)^-1,5,m=ln(L_f)-sum_k=0^inf(theta+a+E_2)+(3+h+alpha_1^*)^-1,"[656, 275, 381, 49, 719, 207, 731, 119, 343, 502, 41, 173, 576, 495, 441, 84]"
803,V=ln(G+lambda_max),3,V=ln(G+lambda_max),"[424, 275, 360, 648, 532]"
8849,p_net=sum_j=0^inf(1+phi_2+beta_i),4,p_net=sum_j=0^inf(1+phi_2+beta_i),"[689, 307, 206, 3, 691, 506, 589, 525]"
9929,C=int(1/3+k+lambda_1+h^3+a)dr,4,C=int(1/3+k+lambda_1+h^3+a)dr,"[334, 260, 27, 648, 499, 628, 470, 558, 107]"
2069,L=partialg/partialt,4,L=partialg/partialt,"[372, 293, 143]"
9083,P=log(c+mu+m),3,P=log(c+mu+m),"[386, 278, 596, 667, 657]"
8745,h=(4/3+R+R+z+m^+)^1/2-(2/3+epsilon+y^circ)^3-log(2+e+lambda_avg)+int_0^inf(4/3+Q^-1+I_rms)dV,5,h=(4/3+R+R+z+m^+)^1/2-(2/3+epsilon+y^circ)^3-log(2+e+lambda_avg)+int_0^inf(4/3+Q^-1+I_rms)dV,"[628, 202, 406, 406, 776, 656, 446, 88, 0, 160, 613, 765, 476, 96, 655, 154, 648, 509, 40, 642, 481, 37, 395, 460, 371, 106]"
645,L=1/3*R+R+ln(h*alpha+x-mu_1)+(I_1^++p_net+C_rms^n)^2-(4+R+sigma_f+a_2)^3,5,L=1/3*R+R+ln(h*alpha+x-mu_1)+(I_1^++p_net+C_rms^n)^2-(4+R+sigma_f+a_2)^3,"[372, 217, 406, 406, 653, 630, 578, 759, 665, 495, 41, 362, 495, 449, 680, 549, 342, 483, 92, 32, 406, 709, 516, 117, 502, 94]"
9375,C=(1*lambda_min-tau)/(1*N_A+epsilon^3)+2/3+k-w^n+r_max+(4+h+omega^*)^3,5,C=(1*lambda_min-tau)/(1*N_A+epsilon^3)+2/3+k-w^n+r_max+(4+h+omega^*)^3,"[334, 186, 648, 543, 727, 59, 384, 611, 467, 40, 160, 647, 752, 486, 702, 535, 32, 631, 676, 441, 94]"
5104,E=partialm/partialy,4,E=partialm/partialy,"[343, 295, 146]"
5461,E=4+B,1,E=4+B,"[343, 228, 325]"
1638,E_i=sqrt(1/3+pi+L+a),3,E_i=sqrt(1/3+pi+L+a),"[343, 524, 301, 28, 372, 118]"
121,P=1*a_1,1,P=1*a_1,"[386, 210, 112, 495]"
2982,Q=(gamma)/(2/3-b),2,Q=(gamma)/(2/3-b),"[399, 625, 73, 580]"
5070,V=2/3-e+omega_rms*gamma_avg-ln(1*pi+w+omega^n-g),5,V=2/3-e+omega_rms*gamma_avg-ln(1*pi+w+omega^n-g),"[428, 166, 608, 676, 555, 625, 514, 652, 2, 696, 755, 676, 487, 618]"
3075,V=dL/dt+(2/3*r_rms^n+s^-1)/(h*beta^-)-c*n_i,5,V=dL/dt+(2/3*r_rms^n+s^-1)/(h*beta^-)-c*n_i,"[424, 241, 136, 115, 159, 702, 553, 486, 706, 456, 57, 630, 589, 451, 49, 595, 669, 524]"
8928,a=log(1/2-V_i+T),3,a=log(1/2-V_i+T),"[558, 277, 20, 424, 528, 416]"
3279,p_rms=int_0^L(1/2+e+psi_2+P_i)dt,4,p_rms=int_0^L(1/2+e+psi_2+P_i)dt,"[680, 553, 264, 472, 16, 698, 506, 394, 108]"
2136,h=x,1,h=x,"[633, 756]"
8942,T_avg=delta^3,2,T_avg=delta^3,"[415, 509, 251, 467]"
4971,p=P_0,1,p=P_0,"[684, 392]"
6196,B=1/2-F_i,1,B=1/2-F_i,"[325, 216, 351, 524]"
135,B=(1*N_A-h*sigma^++omega)/(R-E*epsilon)+int_L^inf(z+delta_min^circ+r)dt+sum_k=0^N(c+m+P^-1)-sqrt(N_A+sigma+a_1+y_2^n),5,B=(1*N_A-h*sigma^++omega)/(R-E*epsilon)+int_L^inf(z+delta_min^circ+r)dt+sum_k=0^N(c+m+P^-1)-sqrt(N_A+sigma+a_1+y_2^n),"[325, 186, 385, 630, 709, 449, 676, 57, 407, 345, 611, 40, 643, 482, 776, 604, 538, 479, 702, 108, 114, 719, 205, 596, 659, 386, 456, 49, 716, 384, 709, 117, 499, 765, 502, 484]"
7732,W_f=(Q)/(psi),2,W_f=(Q)/(psi),"[432, 523, 395, 57, 699]"
5325,I=ln(4/3-k+mu_max*T_2*B_rms)-sum_n=1^n(G+Q_f+r+phi_i),5,I=ln(4/3-k+mu_max*T_2*B_rms)-sum_n=1^n(G+Q_f+r+phi_i),"[362, 275, 182, 646, 665, 534, 415, 505, 333, 49, 720, 225, 360, 395, 520, 704, 691, 525]"
9641,p=1/2+T_net,1,p=1/2+T_net,"[680, 215, 415, 545]"
6161,h=1/3-v_max,1,h=1/3-v_max,"[628, 219, 738, 531]"
2560,P=partialR/partialt+4-e+phi^**V_0,5,P=partialR/partialt+4-e+phi^**V_0,"[386, 289, 144, 180, 608, 691, 443, 424, 488]"
63,g=tan(1/3+N_A+P_1),3,g=tan(1/3+N_A+P_1),"[621, 725, 23, 386, 496]"
1359,E_f=sum_n=0^N(omega_max),4,E_f=sum_n=0^N(omega_max),"[343, 516, 313, 205, 676, 532]"
6726,b=2+h_avg,1,b=2+h_avg,"[582, 149, 635]"
2468,x_2=tan(2+pi+g_i+C),3,x_2=tan(2+pi+g_i+C),"[756, 502, 315, 157, 617, 528, 335]"
680,L_i=h*epsilon_1^3-n_1^circ-cos(N_A+w+F)+e-phi^3*phi_min^2,5,L_i=h*epsilon_1^3-n_1^circ-cos(N_A+w+F)+e-phi^3*phi_min^2,"[372, 524, 183, 630, 611, 495, 471, 669, 495, 480, 599, 384, 755, 351, 40, 609, 691, 469, 691, 538, 462]"
6798,T=ln(psi_min),3,T=ln(psi_min),"[415, 275, 698, 539]"
742,a=(E)/(h_i),2,a=(E)/(h_i),"[564, 343, 57, 628, 525]"
5308,V=exp(R+z),3,V=exp(R+z),"[424, 258, 406, 775]"
7628,z=exp(4+W+F),3,z=exp(4+W+F),"[774, 257, 32, 435, 352]"
3642,x_i=(1/2-I)/(w),2,x_i=(1/2-I)/(w),"[762, 191, 362, 57, 753]"
445,B_f=k*L+c_rms+int_a^inf(3+k+mu_net+c_i^3+beta)dr+(R+v+b)^2-sin(R+n_2+u_min^n),5,B_f=k*L+c_rms+int_a^inf(3+k+mu_net+c_i^3+beta)dr+(R+v+b)^2-sin(R+n_2+u_min^n),"[325, 522, 645, 376, 593, 556, 644, 482, 174, 665, 549, 593, 524, 470, 589, 107, 115, 406, 741, 579, 92, 714, 406, 669, 506, 734, 538, 484]"
8141,m=lambda,1,m=lambda,"[661, 648]"
3259,m=dh/dx,4,m=dh/dx,"[656, 253, 139]"
4664,n=int_a^b(c+psi)dV,4,n=int_a^b(c+psi)dV,"[669, 273, 596, 698, 106]"
1874,W_2=sum_i=0^n(3+p+F),4,W_2=sum_i=0^n(3+p+F),"[432, 502, 305, 168, 682, 352]"
6367,L=(beta)/(x),2,L=(beta)/(x),"[378, 589, 57, 757]"
2597,T=(4/3-E_0)/(3+y),2,T=(4/3-E_0)/(3+y),"[415, 203, 343, 490, 168, 766]"
1718,Q=sqrt(3+gamma+mu_min),3,Q=sqrt(3+gamma+mu_min),"[395, 302, 168, 627, 665, 539]"
2913,E=cos(k-m+v_f),3,E=cos(k-m+v_f),"[343, 234, 647, 656, 122, 517]"
2844,b=int(R+V+v_net)dV,4,b=int(R+V+v_net)dV,"[579, 261, 406, 424, 122, 545, 106]"
4028,A=exp(h+delta_2+beta),3,A=exp(h+delta_2+beta),"[317, 258, 631, 604, 506, 590]"
5489,g=sum_n=0^N(r+L+A),4,g=sum_n=0^N(r+L+A),"[617, 313, 205, 704, 376, 318]"
8635,V=(pi+B^3+b)^n+ln(3+omega_0+r+w),5,V=(pi+B^3+b)^n+ln(3+omega_0+r+w),"[429, 696, 325, 470, 579, 99, 653, 168, 676, 492, 704, 753]"
8038,P=sin(k+phi_rms+gamma),3,P=sin(k+phi_rms+gamma),"[386, 300, 646, 691, 556, 626]"
9233,E=log(P),3,E=log(P),"[343, 278, 387]"
490,a=(3*e+B+F_min+T)/(2-h+F_rms*A_rms-a_2)-k-y_i^3,5,a=(3*e+B+F_min+T)/(2-h+F_rms*A_rms-a_2)-k-y_i^3,"[564, 167, 608, 327, 351, 542, 415, 70, 631, 351, 555, 317, 557, 569, 49, 647, 765, 524, 467]"
494,a=dv/dt,4,a=dv/dt,"[565, 738, 136]"
691,m=3-u_i,1,m=3-u_i,"[661, 176, 734, 524]"
3822,T=(1/3+epsilon)^2,2,T=(1/3+epsilon)^2,"[415, 193, 611, 89]"
603,E=ln(1/3+n+Q),3,E=ln(1/3+n+Q),"[347, 652, 22, 671, 396]"
1912,C=R^3,2,C=R^3,"[337, 403, 467]"
1015,W=partialP/partialy+E-z-B-1-t+psi_avg-delta+(pi*y*z)/(R*delta-t),5,W=partialP/partialy+E-z-B-1-t+psi_avg-delta+(pi*y*z)/(R*delta-t),"[432, 287, 146, 114, 343, 124, 774, 124, 325, 126, 124, 723, 698, 514, 604, 115, 695, 767, 774, 57, 405, 604, 124, 722]"
6157,B=(C_min)/(p_f),2,B=(C_min)/(p_f),"[329, 334, 540, 680, 517]"
1994,Q=int(v_min+t_avg)dV,4,Q=int(v_min+t_avg)dV,"[395, 261, 738, 542, 721, 509, 106]"
5770,x_i=(1/3+k+P_net+y_max)^3+(h-alpha)/(4-k*epsilon_max-P*Q),5,x_i=(1/3+k+P_net+y_max)^3+(h-alpha)/(4-k*epsilon_max-P*Q),"[762, 193, 646, 386, 549, 765, 531, 95, 0, 632, 576, 80, 645, 611, 536, 386, 111, 396]"
3758,R=log(e+s+y),3,R=log(e+s+y),"[403, 278, 608, 708, 766]"
2367,b=(1/3+tau_f)^3,2,b=(1/3+tau_f)^3,"[579, 193, 727, 516, 94]"
5284,Q=int_L^L(1/2+lambda^-+F+delta)dr,4,Q=int_L^L(1/2+lambda^-+F+delta)dr,"[395, 268, 472, 13, 648, 454, 353, 604, 107]"
4371,n=P_avg,1,n=P_avg,"[672, 393]"
6884,C=int(1/2+R+Q)dr,4,C=int(1/2+R+Q)dr,"[334, 260, 13, 406, 395, 107]"
7012,L=(1/3+theta_2)^2,2,L=(1/3+theta_2)^2,"[372, 193, 731, 502, 89]"
1362,V_min=lambda^n,2,V_min=lambda^n,"[424, 544, 648, 483]"
8462,Q_i=(2+y_min)^3,2,Q_i=(2+y_min)^3,"[395, 524, 195, 765, 538, 94]"
1527,C_0=(phi)/(u),2,C_0=(phi)/(u),"[334, 494, 691, 57, 735]"
1328,V=sqrt(3+h+Q),3,V=sqrt(3+h+Q),"[424, 302, 173, 396]"
8508,x=ln(1/3+c+Q),3,x=ln(1/3+c+Q),"[760, 652, 24, 396]"
9032,P=E^2,2,P=E^2,"[390, 343, 462]"
1552,F=(B)/(s_1),2,F=(B)/(s_1),"[355, 325, 57, 706, 496]"
7770,Q=(1+h+h+v)^1/2-partialv/partialt+sin(1/3*y_2+beta),5,Q=(1+h+h+v)^1/2-partialv/partialt+sin(1/3*y_2+beta),"[395, 187, 631, 631, 738, 88, 690, 738, 144, 713, 21, 765, 506, 590]"
9909,a=dW/dt,4,a=dW/dt,"[565, 432, 136]"
1338,E=sin(4+k+delta_net),3,E=sin(4+k+delta_net),"[343, 299, 32, 646, 604, 546]"
3902,T_max=(4/3-h_0)/(V_f),2,T_max=(4/3-h_0)/(V_f),"[421, 203, 628, 490, 424, 517]"
3011,E=d,1,E=d,"[343, 236]"
5042,I=(1/2+L)^2,2,I=(1/2+L)^2,"[362, 190, 372, 89]"
8826,F=L_1,1,F=L_1,"[354, 379]"
2251,a=4/3*sigma,1,a=4/3*sigma,"[558, 230, 709]"
6534,m_f=int_a^inf(k+z^circ+A_f+w_1^*)dV,4,m_f=int_a^inf(k+z^circ+A_f+w_1^*)dV,"[656, 516, 274, 646, 774, 479, 317, 520, 752, 495, 441, 106]"
5040,a=log(1+e*C-w+d)+partialW/partialt-dC/dx,5,a=log(1+e*C-w+d)+partialW/partialt-dC/dx,"[558, 277, 3, 607, 334, 124, 752, 120, 47, 432, 143, 127, 334, 139]"
2347,m=(3-V_1)/(4/3+m),2,m=(3-V_1)/(4/3+m),"[662, 176, 424, 495, 82, 657]"
9283,y=sqrt(e*a_net+P_i),3,y=sqrt(e*a_net+P_i),"[765, 302, 607, 558, 549, 386, 525]"
5486,P=phi,1,P=phi,"[390, 691]"
2785,g=(1/3+phi_i^-+psi-alpha_rms^*)/(b_max)-(a_min)/(h*R_f*u),5,g=(1/3+phi_i^-+psi-alpha_rms^*)/(b_max)-(a_min)/(h*R_f*u),"[617, 193, 691, 524, 454, 701, 576, 553, 441, 57, 579, 531, 50, 558, 540, 630, 403, 519, 735]"
5120,Q_avg=1/3*h-u*epsilon_0^n-dp/dx,5,Q_avg=1/3*h-u*epsilon_0^n-dp/dx,"[401, 217, 632, 734, 111, 611, 488, 483, 127, 680, 139]"
7551,C=n,1,C=n,"[337, 669]"
5556,v=3*w,1,v=3*w,"[743, 167, 752]"
5600,L_1=(mu_net*T_f^-)/(4+N_A-V)+(1+h+r_i+sigma^-)^2,5,L_1=(mu_net*T_f^-)/(4+N_A-V)+(1+h+r_i+sigma^-)^2,"[372, 501, 665, 548, 415, 516, 451, 79, 385, 424, 40, 8, 702, 528, 709, 451, 89]"
7631,m=4*a,1,m=4*a,"[656, 226, 112]"
151,z=beta,1,z=beta,"[777, 589]"
2805,y=(A^-)/(e-beta+lambda-c)-(4/3*c_net+u_min)/(1+gamma_f^circ)-dh/dx,5,y=(A^-)/(e-beta+lambda-c)-(4/3*c_net+u_min)/(1+gamma_f^circ)-dh/dx,"[771, 317, 451, 57, 609, 592, 651, 593, 49, 36, 593, 549, 734, 538, 60, 625, 516, 476, 53, 628, 139]"
5875,F=int(4/3+h+gamma^-1+tau)dx+(2+lambda^n*z_avg-x)/(k*tau_rms^2-z-phi_f)+ln(F_rms-beta+B),5,F=int(4/3+h+gamma^-1+tau)dx+(2+lambda^n*z_avg-x)/(k*tau_rms^2-z-phi_f)+ln(F_rms-beta+B),"[351, 262, 631, 625, 460, 727, 109, 115, 149, 648, 485, 774, 514, 756, 57, 645, 727, 553, 466, 774, 124, 691, 516, 46, 351, 557, 592, 326]"
2087,V=(epsilon)/(2/3*R_max),2,V=(epsilon)/(2/3*R_max),"[429, 611, 71, 403, 532]"
3752,p_0=(psi)/(4*mu),2,p_0=(psi)/(4*mu),"[680, 494, 698, 78, 666]"
5613,P=exp(epsilon),3,P=exp(epsilon),"[386, 258, 612]"
2260,C=(k+V+Q)^2-log(2/3*N_A*I_rms+v),5,C=(k+V+Q)^2-log(2/3*N_A*I_rms+v),"[338, 646, 426, 395, 92, 655, 159, 383, 371, 123]"
4018,Q_1=sqrt(2*epsilon_i-A),3,Q_1=sqrt(2*epsilon_i-A),"[400, 302, 148, 611, 529, 318]"
6114,v=da/dx,4,v=da/dx,"[738, 250]"
6059,I_min=sum_j=1^N(2+lambda_max),4,I_min=sum_j=1^N(2+lambda_max),"[362, 538, 307, 221, 149, 648, 532]"
2425,x=log(c+g^-1)+x_max^2-ln(2-c-s_net*g_i)-(1+I_avg+b^-1)^-1,5,x=log(c+g^-1)+x_max^2-ln(2-c-s_net*g_i)-(1+I_avg+b^-1)^-1,"[756, 278, 596, 617, 458, 756, 531, 466, 653, 158, 597, 706, 548, 617, 524, 49, 3, 362, 513, 579, 456, 84]"
8035,m=2+G+h+L_0^circ+exp(2/3+c+B_f+beta_avg+tau_2),5,m=2+G+h+L_0^circ+exp(2/3+c+B_f+beta_avg+tau_2),"[661, 150, 631, 372, 488, 479, 616, 160, 596, 325, 520, 589, 513, 727, 503]"
3857,A=(4/3+tau)^2,2,A=(4/3+tau)^2,"[317, 202, 727, 89]"
860,L_min=int(m)dV-(1+y*I_net)/(2/3*h*a_max-v)+4+u+T_min+n_net-tan(sigma_f),5,L_min=int(m)dV-(1+y*I_net)/(2/3*h*a_max-v)+4+u+T_min+n_net-tan(sigma_f),"[372, 538, 261, 656, 106, 124, 3, 767, 362, 547, 159, 630, 558, 536, 738, 40, 179, 736, 415, 542, 669, 550, 726, 709, 517]"
8171,n=g,1,n=g,"[672, 617]"
7592,y_min=(3+g)^3,2,y_min=(3+g)^3,"[765, 538, 197, 617, 94]"
8098,a_1=exp(4+h+sigma+b),3,a_1=exp(4+h+sigma+b),"[568, 257, 32, 631, 712, 580]"
7321,L=c,1,L=c,"[377, 593]"
8564,R_net=int(4+G+t+mu^*)dV,4,R_net=int(4+G+t+mu^*)dV,"[413, 260, 33, 723, 665, 441, 106]"
4740,T_0=(delta+y+P_rms)^2-ln(k-r_1-d_i+epsilon_2^-)-(4+T-E+W_max)/(2/3+R*z+c+r)+partialL/partialt,5,T_0=(delta+y+P_rms)^2-ln(k-r_1-d_i+epsilon_2^-)-(4+T-E+W_max)/(2/3+R*z+c+r)+partialL/partialt,"[415, 494, 606, 768, 386, 553, 92, 653, 647, 702, 495, 127, 528, 611, 502, 451, 49, 32, 415, 124, 346, 432, 533, 160, 405, 776, 596, 702, 47, 372, 143]"
8595,I=G-t+sin(4+c-sigma^-*delta_rms*B)+1/3+h-v,5,I=G-t+sin(4+c-sigma^-*delta_rms*B)+1/3+h-v,"[366, 361, 723, 713, 32, 597, 709, 453, 604, 555, 325, 43, 134, 632, 738]"
4463,F_0=cos(1-N_A*c_max-u),3,F_0=cos(1-N_A*c_max-u),"[351, 488, 233, 11, 383, 593, 536, 735]"
5529,n=sum_n=1^n(4+pi+W+s_f),4,n=sum_n=1^n(4+pi+W+s_f),"[669, 314, 179, 696, 435, 706, 517]"
1365,a_max=c+F*c+(1/3+h+x)^3,5,a_max=c+F*c+(1/3+h+x)^3,"[573, 183, 596, 351, 111, 596, 26, 756, 94]"
1780,y=sqrt(1/3+y_min*V)-sqrt(2/3+b*alpha^-1*T)-(c-v)/(G-b_1),5,y=sqrt(1/3+y_min*V)-sqrt(2/3+b*alpha^-1*T)-(c-v)/(G-b_1),"[765, 301, 22, 765, 541, 424, 49, 716, 160, 579, 111, 576, 459, 415, 50, 597, 738, 57, 361, 579, 496]"
9222,C=(1+x)^n,2,C=(1+x)^n,"[334, 187, 756, 98]"
4786,R=4/3*Q,1,R=4/3*Q,"[403, 230, 395]"
