id,full_equation,complexity,full_equation_tokens_hier,full_equation_token_ids
3309,p_f=int_0^inf(c+B_2)dx,4,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:p * UNKNOWN:_ * IDENT:f <MUL_END> = <MUL_START> IDENT:i * IDENT:n * IDENT:t * UNKNOWN:_ * <POW_START> NUMBER:0 ^ IDENT:i <POW_END> * IDENT:n * IDENT:f * <PAREN_START> <ADD_START> IDENT:c + <MUL_START> IDENT:B * UNKNOWN:_ * NUMBER:2 <MUL_END> <ADD_END> <PAREN_END> * IDENT:d * IDENT:x <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 25, 4, 9, 4, 51, 5, 14, 6, 19, 4, 22, 4, 20, 4, 9, 4, 32, 52, 33, 19, 31, 4, 22, 4, 51, 4, 18, 16, 42, 8, 6, 64, 4, 9, 4, 29, 5, 15, 17, 4, 38, 4, 40, 5, 12, 10]"
1505,h=partiala/partialy-(2/3+c^circ)^3,5,<EXPR_START> <ASSIGN_START> IDENT:h = <ADD_START> <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:a / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:y <MUL_END> - <POW_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> + <MUL_START> <POW_START> IDENT:c ^ IDENT:c <POW_END> * IDENT:i * IDENT:r * IDENT:c <MUL_END> <ADD_END> <PAREN_END> ^ NUMBER:3 <POW_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 39, 14, 16, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 7, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 54, 5, 26, 32, 18, 16, 6, 29, 23, 35, 5, 8, 6, 32, 42, 33, 42, 31, 4, 19, 4, 34, 4, 42, 5, 15, 17, 33, 35, 31, 15, 12, 10]"
1807,C_max=a^n,2,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:C * UNKNOWN:_ * IDENT:m * IDENT:a * IDENT:x <MUL_END> = <POW_START> IDENT:a ^ IDENT:n <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 60, 4, 9, 4, 21, 4, 7, 4, 40, 5, 14, 32, 7, 33, 22, 31, 12, 10]"
8470,n=cos(v)-sin(s^circ)-sin(pi*R_max*phi)+sin(4+k+v^*+c^n),5,<EXPR_START> <ASSIGN_START> IDENT:n = <ADD_START> <MUL_START> IDENT:c * IDENT:o * IDENT:s * <PAREN_START> IDENT:v <PAREN_END> <MUL_END> - <MUL_START> IDENT:s * IDENT:i * IDENT:n * <PAREN_START> <MUL_START> <POW_START> IDENT:s ^ IDENT:c <POW_END> * IDENT:i * IDENT:r * IDENT:c <MUL_END> <PAREN_END> <MUL_END> - <MUL_START> IDENT:s * IDENT:i * IDENT:n * <PAREN_START> <MUL_START> IDENT:p * IDENT:i * IDENT:R * UNKNOWN:_ * IDENT:m * IDENT:a * IDENT:x * IDENT:p * IDENT:h * IDENT:i <MUL_END> <PAREN_END> <MUL_END> + <MUL_START> IDENT:s * IDENT:i * IDENT:n * <PAREN_START> <ADD_START> NUMBER:4 + IDENT:k + <POW_START> IDENT:v ^ UNKNOWN:* <POW_END> + <POW_START> IDENT:c ^ IDENT:n <POW_END> <ADD_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 22, 14, 16, 6, 42, 4, 45, 4, 27, 4, 18, 41, 17, 5, 26, 6, 27, 4, 19, 4, 22, 4, 18, 6, 32, 27, 33, 42, 31, 4, 19, 4, 34, 4, 42, 5, 17, 5, 26, 6, 27, 4, 19, 4, 22, 4, 18, 6, 25, 4, 19, 4, 46, 4, 9, 4, 21, 4, 7, 4, 40, 4, 25, 4, 39, 4, 19, 5, 17, 5, 8, 6, 27, 4, 19, 4, 22, 4, 18, 16, 48, 8, 66, 8, 32, 41, 33, 77, 31, 8, 32, 42, 33, 22, 31, 15, 17, 5, 15, 12, 10]"
5370,L_avg=(c-a)/(h+t_2)-(pi+V_i+lambda_0+omega)^3+h+x,5,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:L * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> = <ADD_START> <MUL_START> <PAREN_START> <ADD_START> IDENT:c - IDENT:a <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> IDENT:h + <MUL_START> IDENT:t * UNKNOWN:_ * NUMBER:2 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> - <POW_START> <PAREN_START> <ADD_START> <MUL_START> IDENT:p * IDENT:i <MUL_END> + <MUL_START> IDENT:V * UNKNOWN:_ * IDENT:i <MUL_END> + <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * IDENT:a * UNKNOWN:_ * NUMBER:0 <MUL_END> + <MUL_START> IDENT:o * IDENT:m * IDENT:e * IDENT:g * IDENT:a <MUL_END> <ADD_END> <PAREN_END> ^ NUMBER:3 <POW_END> + IDENT:h + IDENT:x <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 50, 4, 9, 4, 7, 4, 41, 4, 36, 5, 14, 16, 6, 18, 16, 42, 26, 7, 15, 17, 23, 18, 16, 39, 8, 6, 20, 4, 9, 4, 29, 5, 15, 17, 5, 26, 32, 18, 16, 6, 25, 4, 19, 5, 8, 6, 53, 4, 9, 4, 19, 5, 8, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 7, 4, 9, 4, 52, 5, 8, 6, 45, 4, 21, 4, 28, 4, 36, 4, 7, 5, 15, 17, 33, 35, 31, 8, 39, 8, 40, 15, 12, 10]"
3792,F=(2/3+tau_min)^2,2,<EXPR_START> <ASSIGN_START> IDENT:F = <POW_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> + <MUL_START> IDENT:t * IDENT:a * IDENT:u * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n <MUL_END> <ADD_END> <PAREN_END> ^ NUMBER:2 <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 61, 14, 32, 18, 16, 6, 29, 23, 35, 5, 8, 6, 20, 4, 7, 4, 43, 4, 9, 4, 21, 4, 19, 4, 22, 5, 15, 17, 33, 29, 31, 12, 10]"
9521,T=R,1,<EXPR_START> <ASSIGN_START> IDENT:T = IDENT:R <ASSIGN_END> <EXPR_END>,"[11, 13, 56, 14, 46, 12, 10]"
7330,E=ln(e+t_rms+a_avg)-(T_f*g+lambda)/(h-s_rms^3)+(2+N_A+F_avg)^n+(2+V^*+W*P^circ)/(G*sigma+F*h_1),5,<EXPR_START> <ASSIGN_START> IDENT:E = <ADD_START> <MUL_START> IDENT:l * IDENT:n * <PAREN_START> <ADD_START> IDENT:e + <MUL_START> IDENT:t * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> + <MUL_START> IDENT:a * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> <ADD_END> <PAREN_END> <MUL_END> - <MUL_START> <PAREN_START> <ADD_START> <MUL_START> IDENT:T * UNKNOWN:_ * IDENT:f * IDENT:g <MUL_END> + <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * IDENT:a <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> IDENT:h - <MUL_START> IDENT:s * UNKNOWN:_ * IDENT:r * IDENT:m * <POW_START> IDENT:s ^ NUMBER:3 <POW_END> <MUL_END> <ADD_END> <PAREN_END> <MUL_END> + <POW_START> <PAREN_START> <ADD_START> NUMBER:2 + <MUL_START> IDENT:N * UNKNOWN:_ * IDENT:A <MUL_END> + <MUL_START> IDENT:F * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> <ADD_END> <PAREN_END> ^ IDENT:n <POW_END> + <MUL_START> <PAREN_START> <ADD_START> NUMBER:2 + <POW_START> IDENT:V ^ UNKNOWN:* <POW_END> + <MUL_START> IDENT:W * <POW_START> IDENT:P ^ IDENT:c <POW_END> * IDENT:i * IDENT:r * IDENT:c <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> <MUL_START> IDENT:G * IDENT:s * IDENT:i * IDENT:g * IDENT:m * IDENT:a <MUL_END> + <MUL_START> IDENT:F * IDENT:h * UNKNOWN:_ * NUMBER:1 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 58, 14, 16, 6, 30, 4, 22, 4, 18, 16, 28, 8, 6, 20, 4, 9, 4, 34, 4, 21, 4, 27, 5, 8, 6, 7, 4, 9, 4, 7, 4, 41, 4, 36, 5, 15, 17, 5, 26, 6, 18, 16, 6, 56, 4, 9, 4, 51, 4, 36, 5, 8, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 7, 5, 15, 17, 23, 18, 16, 39, 26, 6, 27, 4, 9, 4, 34, 4, 21, 4, 32, 27, 33, 35, 31, 5, 15, 17, 5, 8, 32, 18, 16, 29, 8, 6, 72, 4, 9, 4, 47, 5, 8, 6, 61, 4, 9, 4, 7, 4, 41, 4, 36, 5, 15, 17, 33, 22, 31, 8, 6, 18, 16, 29, 8, 32, 53, 33, 77, 31, 8, 6, 65, 4, 32, 57, 33, 42, 31, 4, 19, 4, 34, 4, 42, 5, 15, 17, 23, 18, 16, 6, 70, 4, 27, 4, 19, 4, 36, 4, 21, 4, 7, 5, 8, 6, 61, 4, 39, 4, 9, 4, 37, 5, 15, 17, 5, 15, 12, 10]"
5910,a=int(N_A+I)dV-(1/3+h+T*b)/(4/3*psi)-(1/2+pi+a_rms^3+alpha)^2,5,<EXPR_START> <ASSIGN_START> IDENT:a = <ADD_START> <MUL_START> IDENT:i * IDENT:n * IDENT:t * <PAREN_START> <ADD_START> <MUL_START> IDENT:N * UNKNOWN:_ * IDENT:A <MUL_END> + IDENT:I <ADD_END> <PAREN_END> * IDENT:d * IDENT:V <MUL_END> - <MUL_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> + IDENT:h + <MUL_START> IDENT:T * IDENT:b <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <MUL_START> NUMBER:4 / NUMBER:3 * IDENT:p * IDENT:s * IDENT:i <MUL_END> <PAREN_END> <MUL_END> - <POW_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:2 <MUL_END> + <MUL_START> IDENT:p * IDENT:i <MUL_END> + <MUL_START> IDENT:a * UNKNOWN:_ * IDENT:r * IDENT:m * <POW_START> IDENT:s ^ NUMBER:3 <POW_END> <MUL_END> + <MUL_START> IDENT:a * IDENT:l * IDENT:p * IDENT:h * IDENT:a <MUL_END> <ADD_END> <PAREN_END> ^ NUMBER:2 <POW_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 16, 6, 19, 4, 22, 4, 20, 4, 18, 16, 6, 72, 4, 9, 4, 47, 5, 8, 63, 15, 17, 4, 38, 4, 53, 5, 26, 6, 18, 16, 6, 37, 23, 35, 5, 8, 39, 8, 6, 56, 4, 44, 5, 15, 17, 23, 18, 6, 48, 23, 35, 4, 25, 4, 27, 4, 19, 5, 17, 5, 26, 32, 18, 16, 6, 37, 23, 29, 5, 8, 6, 25, 4, 19, 5, 8, 6, 7, 4, 9, 4, 34, 4, 21, 4, 32, 27, 33, 35, 31, 5, 8, 6, 7, 4, 30, 4, 25, 4, 39, 4, 7, 5, 15, 17, 33, 29, 31, 15, 12, 10]"
6826,p=W_f,1,<EXPR_START> <ASSIGN_START> IDENT:p = <MUL_START> IDENT:W * UNKNOWN:_ * IDENT:f <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 25, 14, 6, 65, 4, 9, 4, 51, 5, 12, 10]"
7264,x=dV/dx,4,<EXPR_START> <ASSIGN_START> IDENT:x = <MUL_START> IDENT:d * IDENT:V / IDENT:d * IDENT:x <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 40, 14, 6, 38, 4, 53, 23, 38, 4, 40, 5, 12, 10]"
1849,W=sum_i=0^inf(3+u+p+w),4,<EXPR_START> <ASSIGN_START> IDENT:W = <MUL_START> IDENT:s * IDENT:u * IDENT:m * UNKNOWN:_ * IDENT:i <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 65, 14, 6, 27, 4, 43, 4, 21, 4, 9, 4, 19, 5, 12, 10]"
4513,n=ln(2+g+B_f),3,<EXPR_START> <ASSIGN_START> IDENT:n = <MUL_START> IDENT:l * IDENT:n * <PAREN_START> <ADD_START> NUMBER:2 + IDENT:g + <MUL_START> IDENT:B * UNKNOWN:_ * IDENT:f <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 22, 14, 6, 30, 4, 22, 4, 18, 16, 29, 8, 36, 8, 6, 64, 4, 9, 4, 51, 5, 15, 17, 5, 12, 10]"
2432,Q=I^2,2,<EXPR_START> <ASSIGN_START> IDENT:Q = <POW_START> IDENT:I ^ NUMBER:2 <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 59, 14, 32, 63, 33, 29, 31, 12, 10]"
4661,A=2/3-gamma,1,<EXPR_START> <ASSIGN_START> IDENT:A = <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> - <MUL_START> IDENT:g * IDENT:a * IDENT:m * IDENT:m * IDENT:a <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 47, 14, 16, 6, 29, 23, 35, 5, 26, 6, 36, 4, 7, 4, 21, 4, 21, 4, 7, 5, 15, 12, 10]"
8886,n=B_i,1,<EXPR_START> <ASSIGN_START> IDENT:n = <MUL_START> IDENT:B * UNKNOWN:_ * IDENT:i <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 22, 14, 6, 64, 4, 9, 4, 19, 5, 12, 10]"
5585,a=cos(B_1^3+L)-1/3*k+V_2+p+r_rms-partialv/partialt-sqrt(k+alpha_1),5,<EXPR_START> <ASSIGN_START> IDENT:a = <ADD_START> <MUL_START> IDENT:c * IDENT:o * IDENT:s * <PAREN_START> <ADD_START> <MUL_START> IDENT:B * UNKNOWN:_ * <POW_START> NUMBER:1 ^ NUMBER:3 <POW_END> <MUL_END> + IDENT:L <ADD_END> <PAREN_END> <MUL_END> - <MUL_START> NUMBER:1 / NUMBER:3 * IDENT:k <MUL_END> + <MUL_START> IDENT:V * UNKNOWN:_ * NUMBER:2 <MUL_END> + IDENT:p + <MUL_START> IDENT:r * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> - <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:v / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:t <MUL_END> - <MUL_START> IDENT:s * IDENT:q * IDENT:r * IDENT:t * <PAREN_START> <ADD_START> IDENT:k + <MUL_START> IDENT:a * IDENT:l * IDENT:p * IDENT:h * IDENT:a * UNKNOWN:_ * NUMBER:1 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 16, 6, 42, 4, 45, 4, 27, 4, 18, 16, 6, 64, 4, 9, 4, 32, 37, 33, 35, 31, 5, 8, 50, 15, 17, 5, 26, 6, 37, 23, 35, 4, 66, 5, 8, 6, 53, 4, 9, 4, 29, 5, 8, 25, 8, 6, 34, 4, 9, 4, 34, 4, 21, 4, 27, 5, 26, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 41, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 20, 5, 26, 6, 27, 4, 76, 4, 34, 4, 20, 4, 18, 16, 66, 8, 6, 7, 4, 30, 4, 25, 4, 39, 4, 7, 4, 9, 4, 37, 5, 15, 17, 5, 15, 12, 10]"
143,Q=tan(1/3*pi+s-r),3,<EXPR_START> <ASSIGN_START> IDENT:Q = <MUL_START> IDENT:t * IDENT:a * IDENT:n * <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 * IDENT:p * IDENT:i <MUL_END> + IDENT:s - IDENT:r <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 59, 14, 6, 20, 4, 7, 4, 22, 4, 18, 16, 6, 37, 23, 35, 4, 25, 4, 19, 5, 8, 27, 26, 34, 15, 17, 5, 12, 10]"
8761,L=theta_net,1,<EXPR_START> <ASSIGN_START> IDENT:L = <MUL_START> IDENT:t * IDENT:h * IDENT:e * IDENT:t * IDENT:a * UNKNOWN:_ * IDENT:n * IDENT:e * IDENT:t <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 50, 14, 6, 20, 4, 39, 4, 28, 4, 20, 4, 7, 4, 9, 4, 22, 4, 28, 4, 20, 5, 12, 10]"
9212,a_rms=F^3,2,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:a * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> = <POW_START> IDENT:F ^ NUMBER:3 <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 7, 4, 9, 4, 34, 4, 21, 4, 27, 5, 14, 32, 61, 33, 35, 31, 12, 10]"
5265,L=tan(c+n^n)+(mu-sigma*gamma_2)/(s)+(3*alpha_avg*b*g_avg)/(3-g_min+lambda-V)-(1/3-g-v+B_f)/(k*sigma+b_avg*v),5,<EXPR_START> <ASSIGN_START> IDENT:L = <ADD_START> <MUL_START> IDENT:t * IDENT:a * IDENT:n * <PAREN_START> <ADD_START> IDENT:c + <POW_START> IDENT:n ^ IDENT:n <POW_END> <ADD_END> <PAREN_END> <MUL_END> + <MUL_START> <PAREN_START> <ADD_START> <MUL_START> IDENT:m * IDENT:u <MUL_END> - <MUL_START> IDENT:s * IDENT:i * IDENT:g * IDENT:m * IDENT:a * IDENT:g * IDENT:a * IDENT:m * IDENT:m * IDENT:a * UNKNOWN:_ * NUMBER:2 <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> IDENT:s <PAREN_END> <MUL_END> + <MUL_START> <PAREN_START> <MUL_START> NUMBER:3 * IDENT:a * IDENT:l * IDENT:p * IDENT:h * IDENT:a * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g * IDENT:b * IDENT:g * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> <PAREN_END> / <PAREN_START> <ADD_START> NUMBER:3 - <MUL_START> IDENT:g * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n <MUL_END> + <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * IDENT:a <MUL_END> - IDENT:V <ADD_END> <PAREN_END> <MUL_END> - <MUL_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> - IDENT:g - IDENT:v + <MUL_START> IDENT:B * UNKNOWN:_ * IDENT:f <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> <MUL_START> IDENT:k * IDENT:s * IDENT:i * IDENT:g * IDENT:m * IDENT:a <MUL_END> + <MUL_START> IDENT:b * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g * IDENT:v <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 50, 14, 16, 6, 20, 4, 7, 4, 22, 4, 18, 16, 42, 8, 32, 22, 33, 22, 31, 15, 17, 5, 8, 6, 18, 16, 6, 21, 4, 43, 5, 26, 6, 27, 4, 19, 4, 36, 4, 21, 4, 7, 4, 36, 4, 7, 4, 21, 4, 21, 4, 7, 4, 9, 4, 29, 5, 15, 17, 23, 18, 27, 17, 5, 8, 6, 18, 6, 35, 4, 7, 4, 30, 4, 25, 4, 39, 4, 7, 4, 9, 4, 7, 4, 41, 4, 36, 4, 44, 4, 36, 4, 9, 4, 7, 4, 41, 4, 36, 5, 17, 23, 18, 16, 35, 26, 6, 36, 4, 9, 4, 21, 4, 19, 4, 22, 5, 8, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 7, 5, 26, 53, 15, 17, 5, 26, 6, 18, 16, 6, 37, 23, 35, 5, 26, 36, 26, 41, 8, 6, 64, 4, 9, 4, 51, 5, 15, 17, 23, 18, 16, 6, 66, 4, 27, 4, 19, 4, 36, 4, 21, 4, 7, 5, 8, 6, 44, 4, 9, 4, 7, 4, 41, 4, 36, 4, 41, 5, 15, 17, 5, 15, 12, 10]"
3410,L=(k+V)^3-e-d_net,5,<EXPR_START> <ASSIGN_START> IDENT:L = <ADD_START> <POW_START> <PAREN_START> <ADD_START> IDENT:k + IDENT:V <ADD_END> <PAREN_END> ^ NUMBER:3 <POW_END> - IDENT:e - <MUL_START> IDENT:d * UNKNOWN:_ * IDENT:n * IDENT:e * IDENT:t <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 50, 14, 16, 32, 18, 16, 66, 8, 53, 15, 17, 33, 35, 31, 26, 28, 26, 6, 38, 4, 9, 4, 22, 4, 28, 4, 20, 5, 15, 12, 10]"
1118,m=log(R+T),3,<EXPR_START> <ASSIGN_START> IDENT:m = <MUL_START> IDENT:l * IDENT:o * IDENT:g * <PAREN_START> <ADD_START> IDENT:R + IDENT:T <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 21, 14, 6, 30, 4, 45, 4, 36, 4, 18, 16, 46, 8, 56, 15, 17, 5, 12, 10]"
1757,A=(2/3+a)/(Q),2,<EXPR_START> <ASSIGN_START> IDENT:A = <MUL_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> + IDENT:a <ADD_END> <PAREN_END> / <PAREN_START> IDENT:Q <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 47, 14, 6, 18, 16, 6, 29, 23, 35, 5, 8, 7, 15, 17, 23, 18, 59, 17, 5, 12, 10]"
498,E=sin(h+y),3,<EXPR_START> <ASSIGN_START> IDENT:E = <MUL_START> IDENT:s * IDENT:i * IDENT:n * <PAREN_START> <ADD_START> IDENT:h + IDENT:y <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 58, 14, 6, 27, 4, 19, 4, 22, 4, 18, 16, 39, 8, 54, 15, 17, 5, 12, 10]"
8032,T=(2/3+R_2)^2,2,<EXPR_START> <ASSIGN_START> IDENT:T = <POW_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> + <MUL_START> IDENT:R * UNKNOWN:_ * NUMBER:2 <MUL_END> <ADD_END> <PAREN_END> ^ NUMBER:2 <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 56, 14, 32, 18, 16, 6, 29, 23, 35, 5, 8, 6, 46, 4, 9, 4, 29, 5, 15, 17, 33, 29, 31, 12, 10]"
871,C=2+mu_max,1,<EXPR_START> <ASSIGN_START> IDENT:C = <ADD_START> NUMBER:2 + <MUL_START> IDENT:m * IDENT:u * UNKNOWN:_ * IDENT:m * IDENT:a * IDENT:x <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 60, 14, 16, 29, 8, 6, 21, 4, 43, 4, 9, 4, 21, 4, 7, 4, 40, 5, 15, 12, 10]"
3358,F_avg=sin(C_f+B),3,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:F * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> = <MUL_START> IDENT:s * IDENT:i * IDENT:n * <PAREN_START> <ADD_START> <MUL_START> IDENT:C * UNKNOWN:_ * IDENT:f <MUL_END> + IDENT:B <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 61, 4, 9, 4, 7, 4, 41, 4, 36, 5, 14, 6, 27, 4, 19, 4, 22, 4, 18, 16, 6, 60, 4, 9, 4, 51, 5, 8, 64, 15, 17, 5, 12, 10]"
913,b_avg=ln(2-k*W+m_1),3,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:b * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> = <MUL_START> IDENT:l * IDENT:n * <PAREN_START> <ADD_START> NUMBER:2 - <MUL_START> IDENT:k * IDENT:W <MUL_END> + <MUL_START> IDENT:m * UNKNOWN:_ * NUMBER:1 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 44, 4, 9, 4, 7, 4, 41, 4, 36, 5, 14, 6, 30, 4, 22, 4, 18, 16, 29, 26, 6, 66, 4, 65, 5, 8, 6, 21, 4, 9, 4, 37, 5, 15, 17, 5, 12, 10]"
722,a=(1/3+R)/(v),2,<EXPR_START> <ASSIGN_START> IDENT:a = <MUL_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> + IDENT:R <ADD_END> <PAREN_END> / <PAREN_START> IDENT:v <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 6, 18, 16, 6, 37, 23, 35, 5, 8, 46, 15, 17, 23, 18, 41, 17, 5, 12, 10]"
2806,z=E_net,1,<EXPR_START> <ASSIGN_START> IDENT:z = <MUL_START> IDENT:E * UNKNOWN:_ * IDENT:n * IDENT:e * IDENT:t <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 67, 14, 6, 58, 4, 9, 4, 22, 4, 28, 4, 20, 5, 12, 10]"
9944,n_rms=sum_i=0^n(4/3+N_A+b_f+z_rms),4,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:n * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> = <MUL_START> IDENT:s * IDENT:u * IDENT:m * UNKNOWN:_ * IDENT:i <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 22, 4, 9, 4, 34, 4, 21, 4, 27, 5, 14, 6, 27, 4, 43, 4, 21, 4, 9, 4, 19, 5, 12, 10]"
887,z=(P_i)/(x),2,<EXPR_START> <ASSIGN_START> IDENT:z = <MUL_START> <PAREN_START> <MUL_START> IDENT:P * UNKNOWN:_ * IDENT:i <MUL_END> <PAREN_END> / <PAREN_START> IDENT:x <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 67, 14, 6, 18, 6, 57, 4, 9, 4, 19, 5, 17, 23, 18, 40, 17, 5, 12, 10]"
9593,y=ln(4/3+w_i*psi_f),3,<EXPR_START> <ASSIGN_START> IDENT:y = <MUL_START> IDENT:l * IDENT:n * <PAREN_START> <ADD_START> <MUL_START> NUMBER:4 / NUMBER:3 <MUL_END> + <MUL_START> IDENT:w * UNKNOWN:_ * IDENT:i * IDENT:p * IDENT:s * IDENT:i * UNKNOWN:_ * IDENT:f <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 54, 14, 6, 30, 4, 22, 4, 18, 16, 6, 48, 23, 35, 5, 8, 6, 74, 4, 9, 4, 19, 4, 25, 4, 27, 4, 19, 4, 9, 4, 51, 5, 15, 17, 5, 12, 10]"
